,id,name,total_items_in_this_category,mother_id,mother_name
0,MLA4711,Acc. para Motos y Cuatriciclos,128050,MLA5725,Accesorios para Vehículos
1,MLA417044,Acc. y Repuestos Náuticos,18391,MLA5725,Accesorios para Vehículos
2,MLA6520,Accesorios de Auto y Camioneta,274099,MLA5725,Accesorios para Vehículos
3,MLA86360,Accesorios para Camiones,14861,MLA5725,Accesorios para Vehículos
4,MLA3381,Audio para Vehículos,41386,MLA5725,Accesorios para Vehículos
5,MLA455216,Dispositivos para TelePASE,0,MLA5725,Accesorios para Vehículos
6,MLA4610,GNC,3056,MLA5725,Accesorios para Vehículos
7,MLA2227,Herramientas,42623,MLA5725,Accesorios para Vehículos
8,MLA86838,Limpieza de Vehículos,34810,MLA5725,Accesorios para Vehículos
9,MLA6537,Llantas,27170,MLA5725,Accesorios para Vehículos
10,MLA8531,Navegadores GPS,4585,MLA5725,Accesorios para Vehículos
11,MLA400928,Neumáticos,106468,MLA5725,Accesorios para Vehículos
12,MLA402999,Performance,13823,MLA5725,Accesorios para Vehículos
13,MLA1747,Repuestos Autos y Camionetas,7377302,MLA5725,Accesorios para Vehículos
14,MLA419936,Repuestos de Línea Pesada,49375,MLA5725,Accesorios para Vehículos
15,MLA1771,Repuestos Motos y Cuatriciclos,572083,MLA5725,Accesorios para Vehículos
16,MLA86080,Seguridad Vehicular,37887,MLA5725,Accesorios para Vehículos
17,MLA377674,Servicio Programado,19302,MLA5725,Accesorios para Vehículos
18,MLA4589,Tuning,95613,MLA5725,Accesorios para Vehículos
19,MLA6177,Otros,69177,MLA5725,Accesorios para Vehículos
20,MLA442346,Animales,87,MLA1512,Agro
21,MLA442344,Generadores de Energía,359,MLA1512,Agro
22,MLA454448,Infraestructura Rural,1976,MLA1512,Agro
23,MLA442343,Insumos Agrícolas,1917,MLA1512,Agro
24,MLA407816,Insumos Ganaderos,434,MLA1512,Agro
25,MLA417282,Máquinas y Herramientas,1500,MLA1512,Agro
26,MLA442351,Repuestos Maquinaria Agrícola,2028,MLA1512,Agro
27,MLA404085,Otros,1685,MLA1512,Agro
28,MLA178700,Bebidas,84982,MLA1403,Alimentos y Bebidas
29,MLA1423,Comestibles,120474,MLA1403,Alimentos y Bebidas
30,MLA410883,Comida Preparada y Catering,14993,MLA1403,Alimentos y Bebidas
31,MLA455292,Congelados,209,MLA1403,Alimentos y Bebidas
32,MLA194324,Frescos,7014,MLA1403,Alimentos y Bebidas
33,MLA1417,Otros,5293,MLA1403,Alimentos y Bebidas
34,MLA1100,Aves,4510,MLA1071,Animales y Mascotas
35,MLA1117,Caballos,2732,MLA1071,Animales y Mascotas
36,MLA6573,Conejos,1186,MLA1071,Animales y Mascotas
37,MLA1081,Gatos,21962,MLA1071,Animales y Mascotas
38,MLA429311,Insectos,184,MLA1071,Animales y Mascotas
39,MLA1091,Peces,21691,MLA1071,Animales y Mascotas
40,MLA1072,Perros,114973,MLA1071,Animales y Mascotas
41,MLA1111,Reptiles y Anfibios,694,MLA1071,Animales y Mascotas
42,MLA1105,Roedores,2810,MLA1071,Animales y Mascotas
43,MLA1126,Otros,3233,MLA1071,Animales y Mascotas
44,MLA436789,Antigüedades,135396,MLA1367,Antigüedades y Colecciones
45,MLA31770,Coleccionables de Deportes,4817,MLA1367,Antigüedades y Colecciones
46,MLA2662,Esculturas,10821,MLA1367,Antigüedades y Colecciones
47,MLA1861,Filatelia,82119,MLA1367,Antigüedades y Colecciones
48,MLA1805,Militaría y Afines,26698,MLA1367,Antigüedades y Colecciones
49,MLA1806,Monedas y Billetes,122662,MLA1367,Antigüedades y Colecciones
50,MLA3475,Posters,38159,MLA1367,Antigüedades y Colecciones
51,MLA1383,Otros,106270,MLA1367,Antigüedades y Colecciones
52,MLA34263,Arte,44950,MLA1368,"Arte, Librería y Mercería"
53,MLA381266,Espejos Venecitas,173,MLA1368,"Arte, Librería y Mercería"
54,MLA436793,Insumos para Hacer Velas,967,MLA1368,"Arte, Librería y Mercería"
55,MLA5982,Librería,263145,MLA1368,"Arte, Librería y Mercería"
56,MLA10934,Mercería,63534,MLA1368,"Arte, Librería y Mercería"
57,MLA432923,Moldes para Jabones,752,MLA1368,"Arte, Librería y Mercería"
58,MLA437077,Piezas para Llaveros,199,MLA1368,"Arte, Librería y Mercería"
59,MLA34294,Otros,49498,MLA1368,"Arte, Librería y Mercería"
60,MLA93412,Autos Chocados y Averiados,1169,MLA1743,"Autos, Motos y Otros"
61,MLA1745,Autos de Colección,2690,MLA1743,"Autos, Motos y Otros"
62,MLA1744,Autos y Camionetas,117327,MLA1743,"Autos, Motos y Otros"
63,MLA58254,Camiones,2906,MLA1743,"Autos, Motos y Otros"
64,MLA51547,Colectivos,582,MLA1743,"Autos, Motos y Otros"
65,MLA7312,Maquinaria Agrícola,2842,MLA1743,"Autos, Motos y Otros"
66,MLA405183,Maquinaria Vial,2354,MLA1743,"Autos, Motos y Otros"
67,MLA80579,Motorhomes,994,MLA1743,"Autos, Motos y Otros"
68,MLA1763,Motos,35950,MLA1743,"Autos, Motos y Otros"
69,MLA1785,Náutica,6361,MLA1743,"Autos, Motos y Otros"
70,MLA1784,Planes de Ahorro,1491,MLA1743,"Autos, Motos y Otros"
71,MLA93430,Semirremolques,880,MLA1743,"Autos, Motos y Otros"
72,MLA1907,Otros Vehículos,10607,MLA1743,"Autos, Motos y Otros"
73,MLA8814,Andadores y Vehículos de Bebés,6944,MLA1384,Bebés
74,MLA5702,Artículos de Bebés para Baño,5815,MLA1384,Bebés
75,MLA417864,Artículos de Maternidad,7885,MLA1384,Bebés
76,MLA417853,Chupetes y Mordillos,5242,MLA1384,Bebés
77,MLA417851,Comida para Bebés,5618,MLA1384,Bebés
78,MLA8322,Corralitos,672,MLA1384,Bebés
79,MLA5362,Cuarto del Bebé,26435,MLA1384,Bebés
80,MLA409456,Higiene y Cuidado del Bebé,12031,MLA1384,Bebés
81,MLA1392,Juegos y Juguetes para Bebés,38560,MLA1384,Bebés
82,MLA5360,Lactancia y Alimentación,22322,MLA1384,Bebés
83,MLA418189,Paseo del Bebé,32176,MLA1384,Bebés
84,MLA1396,Ropa y Calzado para Bebés,82433,MLA1384,Bebés
85,MLA417887,Salud del Bebé,1244,MLA1384,Bebés
86,MLA1390,Seguridad para Bebés,5709,MLA1384,Bebés
87,MLA1889,Otros,6875,MLA1384,Bebés
88,MLA431642,Artículos de Peluquería,22647,MLA1246,Belleza y Cuidado Personal
89,MLA417575,Barbería,5296,MLA1246,Belleza y Cuidado Personal
90,MLA1253,Cuidado de la Piel,93291,MLA1246,Belleza y Cuidado Personal
91,MLA1263,Cuidado del Cabello,92441,MLA1246,Belleza y Cuidado Personal
92,MLA43673,Depilación,8828,MLA1246,Belleza y Cuidado Personal
93,MLA409558,Electrodomésticos de Belleza,29523,MLA1246,Belleza y Cuidado Personal
94,MLA431646,Farmacia,809,MLA1246,Belleza y Cuidado Personal
95,MLA393366,Higiene Personal,33690,MLA1246,Belleza y Cuidado Personal
96,MLA29884,Manicuría y Pedicuría,49927,MLA1246,Belleza y Cuidado Personal
97,MLA1248,Maquillaje,62121,MLA1246,Belleza y Cuidado Personal
98,MLA454712,Perfumes y Fragancias,75993,MLA1246,Belleza y Cuidado Personal
99,MLA417770,Tratamientos de Belleza,12502,MLA1246,Belleza y Cuidado Personal
100,MLA1275,Otros,4767,MLA1246,Belleza y Cuidado Personal
101,MLA1049,Accesorios para Cámaras,43605,MLA1039,Cámaras y Accesorios
102,MLA9808,Álbumes y Portarretratos,3894,MLA1039,Cámaras y Accesorios
103,MLA5849,Cables,3127,MLA1039,Cámaras y Accesorios
104,MLA430361,Cámaras,20055,MLA1039,Cámaras y Accesorios
105,MLA430403,Drones y Accesorios,59,MLA1039,Cámaras y Accesorios
106,MLA392132,Filmadoras y Cámaras de Acción,4952,MLA1039,Cámaras y Accesorios
107,MLA4708,Instrumentos Ópticos,6403,MLA1039,Cámaras y Accesorios
108,MLA59376,Lentes y Filtros,11844,MLA1039,Cámaras y Accesorios
109,MLA430989,Repuestos para Cámaras,402,MLA1039,Cámaras y Accesorios
110,MLA10372,Revelado y Laboratorio,1004,MLA1039,Cámaras y Accesorios
111,MLA1914,Otros,2095,MLA1039,Cámaras y Accesorios
112,MLA3502,Accesorios para Celulares,244356,MLA1051,Celulares y Teléfonos
113,MLA1055,Celulares y Smartphones,68626,MLA1051,Celulares y Teléfonos
114,MLA1058,Handies y Radiofrecuencia,9448,MLA1051,Celulares y Teléfonos
115,MLA401278,Lentes de Realidad Virtual,1329,MLA1051,Celulares y Teléfonos
116,MLA3813,Repuestos de Celulares,56787,MLA1051,Celulares y Teléfonos
117,MLA417704,Smartwatches y Accesorios,12426,MLA1051,Celulares y Teléfonos
118,MLA10616,Tarifadores y Cabinas,123,MLA1051,Celulares y Teléfonos
119,MLA1053,Telefonía Fija e Inalámbrica,14332,MLA1051,Celulares y Teléfonos
120,MLA5237,Telefonía IP,2368,MLA1051,Celulares y Teléfonos
121,MLA1915,Otros,2872,MLA1051,Celulares y Teléfonos
122,MLA416199,Accesorios de Antiestática,161,MLA1648,Computación
123,MLA447778,Accesorios para PC Gaming,15181,MLA1648,Computación
124,MLA430598,Almacenamiento,32738,MLA1648,Computación
125,MLA430918,Cables y Hubs USB,10849,MLA1648,Computación
126,MLA3699,"Cajas, Sobres y Porta CDs",1398,MLA1648,Computación
127,MLA3794,Componentes de PC,59736,MLA1648,Computación
128,MLA1700,Conectividad y Redes,57577,MLA1648,Computación
129,MLA1718,Estabilizadores y UPS,7474,MLA1648,Computación
130,MLA2141,Impresión,128076,MLA1648,Computación
131,MLA430687,Laptops y Accesorios,185769,MLA1648,Computación
132,MLA1660,Lectores y Scanners,7713,MLA1648,Computación
133,MLA36845,Limpieza y Cuidado de PCs,3544,MLA1648,Computación
134,MLA1656,Monitores y Accesorios,11984,MLA1648,Computación
135,MLA1651,Palms y Handhelds,1547,MLA1648,Computación
136,MLA430637,PC de Escritorio,19231,MLA1648,Computación
137,MLA454379,Periféricos de PC,56577,MLA1648,Computación
138,MLA5017,Proyectores y Pantallas,571,MLA1648,Computación
139,MLA1723,Software,12074,MLA1648,Computación
140,MLA400950,Tablets y Accesorios,42840,MLA1648,Computación
141,MLA1912,Otros,7077,MLA1648,Computación
142,MLA438578,Accesorios para Consolas,29364,MLA1144,Consolas y Videojuegos
143,MLA439527,Accesorios para PC Gaming,829,MLA1144,Consolas y Videojuegos
144,MLA438566,Consolas,28419,MLA1144,Consolas y Videojuegos
145,MLA8232,Flippers y Arcade,3470,MLA1144,Consolas y Videojuegos
146,MLA438579,Repuestos para Consolas,1104,MLA1144,Consolas y Videojuegos
147,MLA373840,Videojuegos,93244,MLA1144,Consolas y Videojuegos
148,MLA438759,Otros,2398,MLA1144,Consolas y Videojuegos
149,MLA2480,Artes Marciales y Boxeo,12448,MLA1276,Deportes y Fitness
150,MLA416831,Bádminton,119,MLA1276,Deportes y Fitness
151,MLA1309,Básquet,7563,MLA1276,Deportes y Fitness
152,MLA1279,Buceo,4572,MLA1276,Deportes y Fitness
153,MLA1362,"Camping, Caza y Pesca",146076,MLA1276,Deportes y Fitness
154,MLA438233,"Canoas, Kayaks e Inflables",4397,MLA1276,Deportes y Fitness
155,MLA1292,Ciclismo,91477,MLA1276,Deportes y Fitness
156,MLA1349,Equitación y Polo,5347,MLA1276,Deportes y Fitness
157,MLA417504,Esgrima,89,MLA1276,Deportes y Fitness
158,MLA1297,Esqui y Snowboard,12315,MLA1276,Deportes y Fitness
159,MLA1338,Fitness y Musculación,60355,MLA1276,Deportes y Fitness
160,MLA1285,Fútbol,95348,MLA1276,Deportes y Fitness
161,MLA1302,Fútbol Americano,1352,MLA1276,Deportes y Fitness
162,MLA1342,Golf,7928,MLA1276,Deportes y Fitness
163,MLA37856,Handball,864,MLA1276,Deportes y Fitness
164,MLA3732,Hockey,8867,MLA1276,Deportes y Fitness
165,MLA4697,Juegos de Salón,1353,MLA1276,Deportes y Fitness
166,MLA4682,Kitesurf,1253,MLA1276,Deportes y Fitness
167,MLA410723,Monopatines y Scooters,1921,MLA1276,Deportes y Fitness
168,MLA47786,Montañismo y Trekking,12137,MLA1276,Deportes y Fitness
169,MLA1278,Natación,10102,MLA1276,Deportes y Fitness
170,MLA4218,Paintball,1589,MLA1276,Deportes y Fitness
171,MLA432691,Parapente,204,MLA1276,Deportes y Fitness
172,MLA1293,"Patín, Gimnasia y Danza",18357,MLA1276,Deportes y Fitness
173,MLA8959,Pilates y Yoga,1014,MLA1276,Deportes y Fitness
174,MLA3723,Pulsómetros y Cronómetros,2128,MLA1276,Deportes y Fitness
175,MLA417397,Ropa Deportiva,6684,MLA1276,Deportes y Fitness
176,MLA3731,Rugby,4558,MLA1276,Deportes y Fitness
177,MLA1295,Skateboard y Sandboard,6705,MLA1276,Deportes y Fitness
178,MLA417742,Slackline,56,MLA1276,Deportes y Fitness
179,MLA18369,Softball y Beisbol,1634,MLA1276,Deportes y Fitness
180,MLA438178,Suplementos y Shakers,53232,MLA1276,Deportes y Fitness
181,MLA1281,Surf y Bodyboard,2152,MLA1276,Deportes y Fitness
182,MLA1322,"Tenis, Padel y Squash ",15125,MLA1276,Deportes y Fitness
183,MLA440904,Tiro Deportivo,12734,MLA1276,Deportes y Fitness
184,MLA1333,Voley,1842,MLA1276,Deportes y Fitness
185,MLA1978,Wakeboard y Esqui Acuático,759,MLA1276,Deportes y Fitness
186,MLA1282,Windsurf,864,MLA1276,Deportes y Fitness
187,MLA3724,Zapatillas,11289,MLA1276,Deportes y Fitness
188,MLA1358,Otros,12469,MLA1276,Deportes y Fitness
189,MLA6355,Artefactos de Cuidado Personal,1891,MLA5726,Electrodomésticos y Aires Ac.
190,MLA385177,Climatización,81482,MLA5726,Electrodomésticos y Aires Ac.
191,MLA1618,Cocción,38875,MLA5726,Electrodomésticos y Aires Ac.
192,MLA117258,Dispensadores y Purificadores,8176,MLA5726,Electrodomésticos y Aires Ac.
193,MLA438282,Lavado,42612,MLA5726,Electrodomésticos y Aires Ac.
194,MLA438284,Pequeños Electrodomésticos,81497,MLA5726,Electrodomésticos y Aires Ac.
195,MLA1576,Refrigeración,26218,MLA5726,Electrodomésticos y Aires Ac.
196,MLA5977,Otros,1872,MLA5726,Electrodomésticos y Aires Ac.
197,MLA3690,Accesorios para Audio y Video,19374,MLA1000,"Electrónica, Audio y Video"
198,MLA431414,Accesorios para TV,14817,MLA1000,"Electrónica, Audio y Video"
199,MLA409810,Audio,179027,MLA1000,"Electrónica, Audio y Video"
200,MLA5054,Cables,25799,MLA1000,"Electrónica, Audio y Video"
201,MLA11830,Componentes Electrónicos,160985,MLA1000,"Electrónica, Audio y Video"
202,MLA4632,Controles Remotos,13730,MLA1000,"Electrónica, Audio y Video"
